Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
SY100-5 ,????????????? 100 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY100-8-5 ,????????????? 100 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY125-5 ,????????????? 125 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY125-8-5 ,????????????? 125 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY150-5 ,????????????? 150 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY150-8-5 ,????????????? 150 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY21-5 ,????????????? 21 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY21-8-5 ,????????????? 21 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY27-5 ,????????????? 27 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY27-8-5 ,????????????? 27 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY34-5 ,????????????? 34 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY34-8-5 ,????????????? 34 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY3M ,?????????????? 3?????,,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY42-5 ,????????????? 42 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY42-8-5 ,????????????? 42 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY49-5 ,????????????? 49 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY49-8-5 ,????????????? 49 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY60-5 ,????????????? 60 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY60-8-5 ,????????????? 60 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY75-5 ,????????????? 75 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY75-8-5 ,????????????? 75 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY90-5 ,????????????? 90 (5.0),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
SY90-8-5 ,????????????? 90 (8.5),,HS,8,0,0,0, No Tax,inclusive,,,,,,,,,,,,,,no_image.png,standard
